"ORGID","Industry","Region","Size","SecurityBudget","PrimarySecurityTeam","Maturity","Complexity","ExerciseFrequency","Threats","TTPs","Aims"
17,"Insider Threat","Europe","Small","Medium","Hybrid",3,2,210,"Insider Threat;DDoS;Crypto Miner","Persistence;Defense Evasion;Password Spraying;System Information Discovery;Windows Management Instrumentation;Impact;Discovery;Privilege Escalation;Rootkit","Equation Group;REvil;TA505;WSO Web Shell"
18,"Supply Chain","Europe","Medium","High","In-house",4,1,30,"Web Shell;Data Breach","Execution;Valid Accounts;Lateral Movement;Unsecured Credentials;Defense Evasion","Crypto Miner;Phishing;SET;Insider Threat"
19,"Ransomware","Europe","Medium","High","In-house",3,4,240,"Web Shell","Drive-by Compromise;Signed Binary Proxy Execution;Process Injection","Remote Access Trojan;PowerShell;Anonymous;TeamTNT Scripts"
20,"Insider Threat","Africa","Large","High","Outsourced",2,4,240,"Data Breach;Remote Access Trojan;Ransomware","File and Directory Discovery;Trusted Relationship;Process Injection;Command and Control;Application Layer Protocol;Service Stop;Custom Command and Control Protocol;Data Encrypted for Impact;Password Spraying;Credential Access;Lateral Movement","FIN6;APT41;TeamTNT;King Phisher"
21,"Data Breach","North America","Medium","Low","Outsourced",2,2,240,"Ransomware;Supply Chain;Remote Access Trojan","Command and Control;Obfuscated Files or Information;Pass the Hash;Malicious File;Network Service Scanning;Persistence;Phishing;Data Exfiltration Over Web Service;Remote Services;Discovery;Command and Scripting Interpreter","Kinsing;Screen Capture;Remote File Copy;Insider Threat"
22,"Web Shell","South America","Large","Low","In-house",3,5,300,"Remote Access Trojan;Web Shell","Remote Services;Signed Binary Proxy Execution;Custom Command and Control Protocol;Lateral Movement;Rootkit;Data Staged;Drive-by Compromise","Ransomware;DDoS;TeamTNT Scripts"
23,"Phishing","Africa","Small","Medium","Hybrid",3,5,120,"Phishing;Web Shell","Data Exfiltration Over Web Service;Account Manipulation;Unsecured Credentials;Privilege Escalation;Execution","Phishing;Rootkit;Conti;PowerShell"
24,"Data Breach","North America","Small","High","Hybrid",4,2,30,"Supply Chain","Phishing;Supply Chain Compromise;User Execution","Chelsea Manning;APT28;MinerGate;Ransomware"
25,"Remote Access Trojan","Europe","Small","Low","Outsourced",3,2,240,"Ransomware;DDoS;Web Shell","Data Destruction;Scheduled Task/Job;Valid Accounts;Windows Management Instrumentation;Drive-by Compromise;Credential Access;Execution","Emotet;ASPXSpy;Remote System Discovery;Indicator Removal"
26,"Web Shell","Africa","Medium","Low","Hybrid",5,4,240,"Phishing;Remote Access Trojan;Banking Trojan","Phishing;Spearphishing Link;Signed Binary Proxy Execution;Boot or Logon Autostart Execution;Scheduled Task/Job;Discovery;Password Spraying","Web Shell;Clipboard Data;NotPetya;ASPXSpy"
27,"Data Breach","North America","Medium","Medium","In-house",2,1,30,"Phishing","Execution;Defense Evasion;Malicious File;Brute Force","Windows Management Instrumentation;Inhibit System Recovery;Remcos;HOIC"
28,"Banking Trojan","Asia","Large","Low","Hybrid",5,4,90,"Supply Chain","File and Directory Discovery;Password Spraying;Trusted Relationship","Data from Information Repositories;FIN7;BlackMatter"
29,"Data Breach","Asia","Large","High","Hybrid",2,1,210,"Web Shell;Banking Trojan","Exfiltration;Signed Binary Proxy Execution;System Information Discovery;Impact;Credential Access;Defense Evasion","Scripting;Turla;TrickBot"
30,"Remote Access Trojan","Europe","Large","Medium","Hybrid",4,3,180,"DDoS;Web Shell","Network Service Scanning;Obfuscated Files or Information;Initial Access;Boot or Logon Autostart Execution;Valid Accounts","CCleaner;Data Breach;DarkSide"
31,"Insider Threat","North America","Medium","Medium","Outsourced",1,5,60,"DDoS","Impact;Defense Evasion","REvil;Remcos;Web Shell"
32,"Data Breach","Asia","Medium","High","In-house",2,4,120,"Phishing","Data Staged;Malicious File","FIN4;NotPetya;Supply Chain"
33,"Crypto Miner","North America","Large","Low","Outsourced",5,2,60,"Phishing","Malicious File;Spearphishing Link;Phishing;Obfuscated Files or Information","Scheduled Task/Job;Maze;Persistence"
34,"Supply Chain","Asia","Medium","Low","Hybrid",5,1,90,"Phishing;Remote Access Trojan;Insider Threat","Internal Spearphishing;Data Exfiltration Over Web Service;Persistence;Remote File Copy;Access Token Manipulation;Valid Accounts;Brute Force;Discovery","Charming Kitten;Signed Binary Proxy Execution;APT41;Supply Chain"
35,"Ransomware","Oceania","Large","Medium","In-house",1,5,270,"Banking Trojan;Phishing;Remote Access Trojan","Discovery;Remote System Discovery;Persistence;Credential Access;Exfiltration;Masquerading;Account Manipulation","PlugX;Mēris;Web Shell;Credential Dumping"
36,"Crypto Miner","Oceania","Medium","High","Outsourced",5,2,360,"Crypto Miner;Ransomware;Supply Chain","Masquerading;Execution;Rootkit;Remote Services;Valid Accounts;OS Credential Dumping;Lateral Movement;Privilege Escalation;Initial Access","DDoS;Ryuk;Credential Dumping;Trusted Relationship"
37,"Data Breach","Europe","Medium","Low","Outsourced",3,3,150,"Insider Threat;Web Shell;Data Breach","Impact;Discovery;Unsecured Credentials;Initial Access;Credential Access;Signed Binary Proxy Execution","Ransomware;Chopper Operators;Remote Access Trojan;Cobalt Strike"
38,"Insider Threat","Oceania","Large","High","Hybrid",3,1,180,"Web Shell;Supply Chain;DDoS","Data Exfiltration Over Web Service;Masquerading;Network Service Scanning;Scheduled Task/Job;Persistence;Windows Management Instrumentation;Service Stop;Execution","Supply Chain;Spearphishing Attachment;SolarWinds"
39,"Web Shell","Oceania","Small","Medium","In-house",3,1,300,"Web Shell;Crypto Miner;Banking Trojan","Data Staged;Rootkit;Lateral Movement;Obfuscated Files or Information;Process Injection;Discovery;Valid Accounts;Exfiltration","Signed Binary Proxy Execution;Data Breach;Supply Chain"
40,"Insider Threat","Europe","Small","High","Outsourced",1,3,270,"Web Shell;Remote Access Trojan;Crypto Miner","Command and Scripting Interpreter;Boot or Logon Autostart Execution;Valid Accounts;Unsecured Credentials;Process Injection;Scheduled Task/Job;Initial Access;Execution;Windows Management Instrumentation","Crypto Miner;FIN7;Agent Tesla;User Execution"
