Name, Id
Dylib Hijacking , T1157
Disable or Modify Tools , T1562.001
Data Manipulation , T1565
Inter-Process Communication , T1559
Data Obfuscation , T1001
Data from Network Shared Drive , T1039
Web Services , T1584.006
Modify System Image , T1601
Hijack Execution Flow , T1574
Indicator Removal from Tools , T1027.005
Malicious Image , T1204.003
Container Service , T1543.005
Valid Accounts , T1078
Non-Standard Port , T1571
Social Media Accounts , T1585.001
DLL Side-Loading , T1073
Process Hollowing , T1055.012
Exploitation for Privilege Escalation , T1068
Resource Forking , T1564.009
Account Access Removal , T1531
Credential Stuffing , T1110.004
Kerberoasting , T1208
Obfuscated Files or Information , T1027
Multi-Factor Authentication , T1556.006
Remote Email Collection , T1114.002
IIS Components , T1505.004
Invalid Code Signature , T1036.001
Run Virtual Instance , T1564.006
Trap , T1154
Password Policy Discovery , T1201
Event Triggered Execution , T1546
Unix Shell Configuration Modification , T1546.004
Forced Authentication , T1187
SID-History Injection , T1134.005
Network Boundary Bridging , T1599
Data Encrypted for Impact , T1486
Disk Content Wipe , T1488
Subvert Trust Controls , T1553
Elevated Execution with Prompt , T1548.004
Firmware , T1592.003
Encrypted Channel , T1573
Password Filter DLL , T1174
Authentication Package , T1547.002
Regsvr32 , T1218.010
Data Compressed , T1002
Exfiltration to Text Storage Sites , T1567.003
Credentials in Files , T1081
Software , T1592.002
Netsh Helper DLL , T1128
Input Capture , T1056
Spearphishing Voice , T1566.004
Exploits , T1587.004
Social Media , T1593.001
Component Object Model Hijacking , T1546.015
Credentials , T1589.001
Compromise Software Supply Chain , T1195.002
Rename System Utilities , T1036.003
Bidirectional Communication , T1102.002
Exploitation for Client Execution , T1203
Wordlist Scanning , T1595.003
Spoof Security Alerting , T1562.011
Outlook Home Page , T1137.004
Asymmetric Cryptography , T1573.002
Exfiltration to Cloud Storage , T1567.002
Lateral Tool Transfer , T1570
Path Interception by Unquoted Path , T1574.009
Install Digital Certificate , T1608.003
Local Job Scheduling , T1168
Setuid and Setgid , T1166
Startup Items , T1037.005
Web Shell , T1100
Process Doppelgänging , T1186
SSH Hijacking , T1184
System Language Discovery , T1614.001
Non-Application Layer Protocol , T1095
Pass the Hash , T1075
Steganography , T1027.003
DNS Server , T1584.002
Protocol Impersonation , T1001.003
Query Registry , T1012
Data Transfer Size Limits , T1030
Windows Remote Management , T1028
Web Session Cookie , T1550.004
Domain Accounts , T1078.002
Regsvcs/Regasm , T1218.009
Path Interception , T1034
Web Session Cookie , T1506
Install Root Certificate , T1553.004
Network Logon Script , T1037.003
Endpoint Denial of Service , T1499
Compile After Delivery , T1027.004
Uncommonly Used Port , T1065
System Location Discovery , T1614
VBA Stomping , T1564.007
BITS Jobs , T1197
MSBuild , T1127.001
Impersonation , T1656
Modify Cloud Compute Configurations , T1578.005
Bypass User Account Control , T1088
Runtime Data Manipulation , T1494
Domain Fronting , T1090.004
ARP Cache Poisoning , T1557.002
Disable or Modify Cloud Logs , T1562.008
Security Software Discovery , T1518.001
Hidden Window , T1564.003
Transmitted Data Manipulation , T1493
Python , T1059.006
Identify Roles , T1591.004
Data Encoding , T1132
AppInit DLLs , T1546.010
Phishing for Information , T1598
Resource Hijacking , T1496
Establish Accounts , T1585
Obtain Capabilities , T1588
Screensaver , T1546.002
Hidden Users , T1147
Conditional Access Policies , T1556.009
Create Cloud Instance , T1578.002
Compile After Delivery , T1500
Cloud Secrets Management Stores , T1555.006
Code Repositories , T1213.003
Transmitted Data Manipulation , T1565.002
/etc/passwd and /etc/shadow , T1003.008
Launch Agent , T1543.001
System Services , T1569
Windows Command Shell , T1059.003
Proc Memory , T1055.009
Compiled HTML File , T1223
Acquire Access , T1650
Patch System Image , T1601.001
Silver Ticket , T1558.002
Data from Information Repositories , T1213
Clear Persistence , T1070.009
Clear Command History , T1146
Windows Credential Manager , T1555.004
Emond , T1519
Spearphishing via Service , T1194
Hardware Additions , T1200
Server Software Component , T1505
Data Destruction , T1485
Non-Standard Encoding , T1132.002
Domain Controller Authentication , T1556.001
Transfer Data to Cloud Account , T1537
HTML Smuggling , T1027.006
Reversible Encryption , T1556.005
Command Obfuscation , T1027.010
Install Root Certificate , T1130
Data Encrypted , T1022
File Deletion , T1070.004
Drive-by Compromise , T1189
Network Denial of Service , T1498
Cloud Administration Command , T1651
Installer Packages , T1546.016
Scanning IP Blocks , T1595.001
Hidden Files and Directories , T1158
Template Injection , T1221
RC Scripts , T1037.004
Access Token Manipulation , T1134
Time Providers , T1209
Multi-Factor Authentication Interception , T1111
Launch Agent , T1159
Software Packing , T1027.002
Serverless , T1584.007
Web Protocols , T1071.001
Visual Basic , T1059.005
Hidden File System , T1564.005
Systemd Service , T1543.002
RDP Hijacking , T1563.002
Create Account , T1136
XDG Autostart Entries , T1547.013
Server , T1584.004
Cloud Service Discovery , T1526
Space after Filename , T1151
Remote System Discovery , T1018
Network Service Discovery , T1046
Domain Properties , T1590.001
Software Discovery , T1518
Cloud Service Dashboard , T1538
Thread Local Storage , T1055.005
Debugger Evasion , T1622
Space after Filename , T1036.006
Re-opened Applications , T1547.007
SEO Poisoning , T1608.006
Pass the Hash , T1550.002
Exfiltration Over Physical Medium , T1052
DLL Side-Loading , T1574.002
Ingress Tool Transfer , T1105
SyncAppvPublishingServer , T1216.002
Additional Email Delegate Permissions , T1098.002
Code Signing Certificates , T1588.003
Network Share Connection Removal , T1126
Serverless Execution , T1648
TCC Manipulation , T1548.006
Windows Management Instrumentation Event Subscription , T1084
Launch Daemon , T1160
Ptrace System Calls , T1055.008
Power Settings , T1653
Dynamic API Resolution , T1027.007
Remote Desktop Protocol , T1021.001
Logon Script (Windows) , T1037.001
ListPlanting , T1055.015
Hide Infrastructure , T1665
Domain or Tenant Policy Modification , T1484
XSL Script Processing , T1220
Scan Databases , T1596.005
Hidden Files and Directories , T1564.001
Create Snapshot , T1578.001
Determine Physical Locations , T1591.001
Office Test , T1137.002
Develop Capabilities , T1587
Dynamic Data Exchange , T1173
NTDS , T1003.003
SNMP (MIB Dump) , T1602.001
Steganography , T1001.002
Malicious Link , T1204.001
Application Access Token , T1550.001
LSASS Driver , T1547.008
Service Execution , T1569.002
Cloud Accounts , T1078.004
Environmental Keying , T1480.001
Fallback Channels , T1008
NTFS File Attributes , T1564.004
Kerberoasting , T1558.003
NTFS File Attributes , T1096
DCSync , T1003.006
System Time Discovery , T1124
At , T1053.002
Service Execution , T1035
Dynamic-link Library Injection , T1055.001
PowerShell , T1086
Exploits , T1588.005
Modify Authentication Process , T1556
Credential API Hooking , T1056.004
Firmware Corruption , T1495
Inhibit System Recovery , T1490
Netsh Helper DLL , T1546.007
Spearphishing via Service , T1566.003
Internal Proxy , T1090.001
System Script Proxy Execution , T1216
Custom Command and Control Protocol , T1094
Dead Drop Resolver , T1102.001
InstallUtil , T1118
Junk Data , T1001.001
Spearphishing Service , T1598.001
Commonly Used Port , T1043
Container API , T1552.007
Domains , T1584.001
SQL Stored Procedures , T1505.001
Network Device Authentication , T1556.004
Disk Content Wipe , T1561.001
Exfiltration Over Unencrypted Non-C2 Protocol , T1048.003
Dylib Hijacking , T1574.004
Downgrade System Image , T1601.002
Local Accounts , T1078.003
Exploitation for Defense Evasion , T1211
Trusted Developer Utilities Proxy Execution , T1127
System Shutdown/Reboot , T1529
MMC , T1218.014
Process Argument Spoofing , T1564.010
Windows Admin Shares , T1077
COR_PROFILER , T1574.012
