ORGID,original_text,attack_id,label_type,match_type
14,Obfuscated Files or Information,T1027,technique,exact_name
15,Account Manipulation,T1098,technique,exact_name
15,Exfiltration,TA0010,tactic,exact_name
15,Rootkit,T1014,technique,exact_name
15,Application Layer Protocol,T1071,technique,exact_name
15,Privilege Escalation,TA0004,tactic,exact_name
15,Credential Access,TA0006,tactic,exact_name
16,Process Injection,T1055,technique,exact_name
16,Data Staged,T1074,technique,exact_name
16,Account Manipulation,T1098,technique,exact_name
16,Discovery,TA0007,tactic,exact_name
16,Command and Scripting Interpreter,T1059,technique,exact_name
16,System Information Discovery,T1082,technique,exact_name
16,Valid Accounts,T1078,technique,exact_name
16,Boot or Logon Autostart Execution,T1547,technique,exact_name
16,Remote System Discovery,T1018,technique,exact_name
17,Persistence,TA0003,tactic,exact_name
17,Defense Evasion,TA0005,tactic,exact_name
17,Password Spraying,T1110.003,technique,exact_name
17,System Information Discovery,T1082,technique,exact_name
17,Windows Management Instrumentation,T1047,technique,exact_name
17,Impact,TA0040,tactic,exact_name
17,Discovery,TA0007,tactic,exact_name
17,Privilege Escalation,TA0004,tactic,exact_name
17,Rootkit,T1014,technique,exact_name
18,Execution,TA0002,tactic,exact_name
18,Valid Accounts,T1078,technique,exact_name
18,Lateral Movement,TA0008,tactic,exact_name
18,Unsecured Credentials,T1552,technique,exact_name
18,Defense Evasion,TA0005,tactic,exact_name
19,Drive-by Compromise,T1189,technique,exact_name
19,Signed Binary Proxy Execution,T1218,technique,alias
19,Process Injection,T1055,technique,exact_name
20,File and Directory Discovery,T1083,technique,exact_name
20,Trusted Relationship,T1199,technique,exact_name
20,Process Injection,T1055,technique,exact_name
20,Command and Control,TA0011,tactic,exact_name
20,Application Layer Protocol,T1071,technique,exact_name
20,Service Stop,T1489,technique,exact_name
20,Custom Command and Control Protocol,T1094,technique,exact_name
20,Data Encrypted for Impact,T1486,technique,exact_name
20,Password Spraying,T1110.003,technique,exact_name
20,Credential Access,TA0006,tactic,exact_name
20,Lateral Movement,TA0008,tactic,exact_name
21,Command and Control,TA0011,tactic,exact_name
21,Obfuscated Files or Information,T1027,technique,exact_name
21,Pass the Hash,T1550.002,technique,exact_name
21,Malicious File,T1204.002,technique,exact_name
21,Network Service Scanning,T1046,technique,alias
21,Persistence,TA0003,tactic,exact_name
21,Phishing,T1566,technique,exact_name
21,Data Exfiltration Over Web Service,T1567,technique,alias
21,Remote Services,T1021,technique,exact_name
21,Discovery,TA0007,tactic,exact_name
21,Command and Scripting Interpreter,T1059,technique,exact_name
22,Remote Services,T1021,technique,exact_name
22,Signed Binary Proxy Execution,T1218,technique,alias
22,Custom Command and Control Protocol,T1094,technique,exact_name
22,Lateral Movement,TA0008,tactic,exact_name
22,Rootkit,T1014,technique,exact_name
22,Data Staged,T1074,technique,exact_name
22,Drive-by Compromise,T1189,technique,exact_name
23,Data Exfiltration Over Web Service,T1567,technique,alias
23,Account Manipulation,T1098,technique,exact_name
23,Unsecured Credentials,T1552,technique,exact_name
23,Privilege Escalation,TA0004,tactic,exact_name
23,Execution,TA0002,tactic,exact_name
24,Phishing,T1566,technique,exact_name
24,Supply Chain Compromise,T1195,technique,exact_name
24,User Execution,T1204,technique,exact_name
25,Data Destruction,T1485,technique,exact_name
25,Scheduled Task/Job,T1053,technique,exact_name
25,Valid Accounts,T1078,technique,exact_name
25,Windows Management Instrumentation,T1047,technique,exact_name
25,Drive-by Compromise,T1189,technique,exact_name
25,Credential Access,TA0006,tactic,exact_name
25,Execution,TA0002,tactic,exact_name
26,Phishing,T1566,technique,exact_name
26,Spearphishing Link,T1598.003,technique,exact_name
26,Signed Binary Proxy Execution,T1218,technique,alias
26,Boot or Logon Autostart Execution,T1547,technique,exact_name
26,Scheduled Task/Job,T1053,technique,exact_name
26,Discovery,TA0007,tactic,exact_name
26,Password Spraying,T1110.003,technique,exact_name
27,Execution,TA0002,tactic,exact_name
27,Defense Evasion,TA0005,tactic,exact_name
27,Malicious File,T1204.002,technique,exact_name
27,Brute Force,T1110,technique,exact_name
28,File and Directory Discovery,T1083,technique,exact_name
28,Password Spraying,T1110.003,technique,exact_name
28,Trusted Relationship,T1199,technique,exact_name
29,Exfiltration,TA0010,tactic,exact_name
29,Signed Binary Proxy Execution,T1218,technique,alias
29,System Information Discovery,T1082,technique,exact_name
29,Impact,TA0040,tactic,exact_name
29,Credential Access,TA0006,tactic,exact_name
29,Defense Evasion,TA0005,tactic,exact_name
30,Network Service Scanning,T1046,technique,alias
30,Obfuscated Files or Information,T1027,technique,exact_name
30,Initial Access,TA0001,tactic,exact_name
30,Boot or Logon Autostart Execution,T1547,technique,exact_name
30,Valid Accounts,T1078,technique,exact_name
31,Impact,TA0040,tactic,exact_name
31,Defense Evasion,TA0005,tactic,exact_name
32,Data Staged,T1074,technique,exact_name
32,Malicious File,T1204.002,technique,exact_name
33,Malicious File,T1204.002,technique,exact_name
33,Spearphishing Link,T1598.003,technique,exact_name
33,Phishing,T1566,technique,exact_name
33,Obfuscated Files or Information,T1027,technique,exact_name
34,Internal Spearphishing,T1534,technique,exact_name
34,Data Exfiltration Over Web Service,T1567,technique,alias
34,Persistence,TA0003,tactic,exact_name
34,Remote File Copy,T1105,technique,alias
34,Access Token Manipulation,T1134,technique,exact_name
34,Valid Accounts,T1078,technique,exact_name
34,Brute Force,T1110,technique,exact_name
34,Discovery,TA0007,tactic,exact_name
35,Discovery,TA0007,tactic,exact_name
35,Remote System Discovery,T1018,technique,exact_name
35,Persistence,TA0003,tactic,exact_name
35,Credential Access,TA0006,tactic,exact_name
35,Exfiltration,TA0010,tactic,exact_name
35,Masquerading,T1036,technique,exact_name
35,Account Manipulation,T1098,technique,exact_name
36,Masquerading,T1036,technique,exact_name
36,Execution,TA0002,tactic,exact_name
36,Rootkit,T1014,technique,exact_name
36,Remote Services,T1021,technique,exact_name
36,Valid Accounts,T1078,technique,exact_name
36,OS Credential Dumping,T1003,technique,exact_name
36,Lateral Movement,TA0008,tactic,exact_name
36,Privilege Escalation,TA0004,tactic,exact_name
36,Initial Access,TA0001,tactic,exact_name
37,Impact,TA0040,tactic,exact_name
37,Discovery,TA0007,tactic,exact_name
37,Unsecured Credentials,T1552,technique,exact_name
37,Initial Access,TA0001,tactic,exact_name
37,Credential Access,TA0006,tactic,exact_name
37,Signed Binary Proxy Execution,T1218,technique,alias
38,Data Exfiltration Over Web Service,T1567,technique,alias
38,Masquerading,T1036,technique,exact_name
38,Network Service Scanning,T1046,technique,alias
38,Scheduled Task/Job,T1053,technique,exact_name
38,Persistence,TA0003,tactic,exact_name
38,Windows Management Instrumentation,T1047,technique,exact_name
38,Service Stop,T1489,technique,exact_name
38,Execution,TA0002,tactic,exact_name
39,Data Staged,T1074,technique,exact_name
39,Rootkit,T1014,technique,exact_name
39,Lateral Movement,TA0008,tactic,exact_name
39,Obfuscated Files or Information,T1027,technique,exact_name
39,Process Injection,T1055,technique,exact_name
39,Discovery,TA0007,tactic,exact_name
39,Valid Accounts,T1078,technique,exact_name
39,Exfiltration,TA0010,tactic,exact_name
40,Command and Scripting Interpreter,T1059,technique,exact_name
40,Boot or Logon Autostart Execution,T1547,technique,exact_name
40,Valid Accounts,T1078,technique,exact_name
40,Unsecured Credentials,T1552,technique,exact_name
40,Process Injection,T1055,technique,exact_name
40,Scheduled Task/Job,T1053,technique,exact_name
40,Initial Access,TA0001,tactic,exact_name
40,Execution,TA0002,tactic,exact_name
40,Windows Management Instrumentation,T1047,technique,exact_name
