ORGID,original_text,label_type,attack_id,match_type
35,Remote System Discovery,technique,T1018,exact_name
35,Persistence,tactic,TA0003,exact_name
35,Credential Access,tactic,TA0006,exact_name
35,Exfiltration,tactic,TA0010,exact_name
35,Masquerading,technique,T1036,exact_name
35,Account Manipulation,technique,T1098,exact_name
36,Masquerading,technique,T1036,exact_name
36,Execution,tactic,TA0002,exact_name
36,Rootkit,technique,T1014,exact_name
36,Remote Services,technique,T1021,exact_name
36,Valid Accounts,technique,T1078,exact_name
36,OS Credential Dumping,technique,T1003,exact_name
36,Lateral Movement,tactic,TA0008,exact_name
36,Privilege Escalation,tactic,TA0004,exact_name
36,Initial Access,tactic,TA0001,exact_name
37,Impact,tactic,TA0040,exact_name
37,Discovery,tactic,TA0007,exact_name
37,Unsecured Credentials,technique,T1552,exact_name
37,Initial Access,tactic,TA0001,exact_name
37,Credential Access,tactic,TA0006,exact_name
37,Signed Binary Proxy Execution,technique,T1218,alias
38,Data Exfiltration Over Web Service,technique,T1567,alias
38,Masquerading,technique,T1036,exact_name
38,Network Service Scanning,technique,T1046,alias
38,Scheduled Task/Job,technique,T1053,exact_name
38,Persistence,tactic,TA0003,exact_name
38,Windows Management Instrumentation,technique,T1047,exact_name
38,Service Stop,technique,T1489,exact_name
38,Execution,tactic,TA0002,exact_name
39,Data Staged,technique,T1074,exact_name
39,Rootkit,technique,T1014,exact_name
39,Lateral Movement,tactic,TA0008,exact_name
39,Obfuscated Files or Information,technique,T1027,exact_name
39,Process Injection,technique,T1055,exact_name
39,Discovery,tactic,TA0007,exact_name
39,Valid Accounts,technique,T1078,exact_name
39,Exfiltration,tactic,TA0010,exact_name
40,Command and Scripting Interpreter,technique,T1059,exact_name
40,Boot or Logon Autostart Execution,technique,T1547,exact_name
40,Valid Accounts,technique,T1078,exact_name
40,Unsecured Credentials,technique,T1552,exact_name
40,Process Injection,technique,T1055,exact_name
40,Scheduled Task/Job,technique,T1053,exact_name
40,Initial Access,tactic,TA0001,exact_name
40,Execution,tactic,TA0002,exact_name
40,Windows Management Instrumentation,technique,T1047,exact_name
